item_id,figure1,figure2,figure3,figure4,figure5,figure6,figure7,figure8,choice1,choice2,choice3,choice4,solution,masked_idx,seq_order,choice_order,pattern,trial_type
58,less-than,less-than,less-than,equals,less-than,less-than,less-than,equals,equals,and,greater-than,less-than,equals,7,06325471,2130,AAABAAAB,experiment
231,and,and,and,at,and,and,and,at,dollar-sign,percent,and,at,at,7,23546701,2103,AAABAAAB,experiment
177,slash,slash,slash,at,slash,slash,slash,at,at,dollar-sign,tilde,slash,at,7,63402175,1032,AAABAAAB,experiment
37,tilde,tilde,tilde,equals,tilde,tilde,tilde,equals,asterisk,plus,tilde,equals,equals,7,40532761,2013,AAABAAAB,experiment
92,greater-than,greater-than,greater-than,exclamation,greater-than,greater-than,greater-than,exclamation,hashtag,greater-than,exclamation,slash,exclamation,7,43170526,2013,AAABAAAB,experiment
110,angle-up,angle-up,angle-up,asterisk,angle-up,angle-up,angle-up,asterisk,greater-than,minus,angle-up,asterisk,asterisk,7,47105623,1302,AAABAAAB,experiment
238,percent,percent,percent,asterisk,percent,percent,percent,asterisk,at,quote,asterisk,percent,asterisk,7,41207653,0312,AAABAAAB,experiment
76,less-than,less-than,less-than,plus,less-than,less-than,less-than,plus,less-than,slash,and,plus,plus,7,12635074,1203,AAABAAAB,experiment
74,greater-than,greater-than,greater-than,slash,greater-than,greater-than,greater-than,slash,tilde,plus,slash,greater-than,slash,7,27536041,1302,AAABAAAB,experiment
120,exclamation,exclamation,exclamation,and,exclamation,exclamation,exclamation,and,hashtag,and,exclamation,asterisk,and,7,36410572,1203,AAABAAAB,experiment
119,plus,plus,plus,tilde,plus,plus,plus,tilde,plus,tilde,exclamation,less-than,tilde,7,16047532,3012,AAABAAAB,experiment
14,tilde,tilde,tilde,dollar-sign,tilde,tilde,tilde,dollar-sign,plus,slash,dollar-sign,tilde,dollar-sign,7,30652147,3021,AAABAAAB,experiment
50,greater-than,greater-than,greater-than,hashtag,greater-than,greater-than,greater-than,hashtag,hashtag,greater-than,less-than,and,hashtag,7,73402156,0213,AAABAAAB,experiment
25,dollar-sign,dollar-sign,dollar-sign,hashtag,dollar-sign,dollar-sign,dollar-sign,hashtag,hashtag,dollar-sign,tilde,exclamation,hashtag,7,02364517,1320,AAABAAAB,experiment
228,minus,minus,minus,slash,minus,minus,minus,slash,slash,angle-up,and,minus,slash,7,61324057,3120,AAABAAAB,experiment
33,slash,slash,slash,asterisk,slash,slash,slash,asterisk,tilde,asterisk,slash,plus,asterisk,7,10357642,0312,AAABAAAB,experiment
42,angle-up,angle-up,angle-up,minus,angle-up,angle-up,angle-up,minus,less-than,plus,minus,angle-up,minus,7,12436057,3102,AAABAAAB,experiment
97,hashtag,hashtag,hashtag,percent,hashtag,hashtag,hashtag,percent,minus,percent,hashtag,quote,percent,7,67423051,1203,AAABAAAB,experiment
67,tilde,tilde,tilde,quote,tilde,tilde,tilde,quote,tilde,quote,greater-than,at,quote,7,62507431,2031,AAABAAAB,experiment
162,slash,slash,slash,angle-up,slash,slash,slash,angle-up,and,angle-up,slash,greater-than,angle-up,7,76241350,1023,AAABAAAB,experiment
376,plus,and,plus,and,percent,tilde,percent,tilde,percent,plus,tilde,and,tilde,7,13620754,3021,ABABCDCD,experiment
360,equals,dollar-sign,equals,dollar-sign,plus,angle-up,plus,angle-up,dollar-sign,angle-up,equals,plus,angle-up,7,76245031,3201,ABABCDCD,experiment
407,at,less-than,at,less-than,quote,dollar-sign,quote,dollar-sign,quote,less-than,dollar-sign,at,dollar-sign,7,40153627,0123,ABABCDCD,experiment
446,plus,quote,plus,quote,asterisk,hashtag,asterisk,hashtag,asterisk,plus,hashtag,quote,hashtag,7,57136042,3102,ABABCDCD,experiment
276,percent,less-than,percent,less-than,exclamation,plus,exclamation,plus,percent,plus,less-than,exclamation,plus,7,34701652,0132,ABABCDCD,experiment
379,hashtag,quote,hashtag,quote,equals,tilde,equals,tilde,quote,hashtag,tilde,equals,tilde,7,53261074,3021,ABABCDCD,experiment
371,slash,less-than,slash,less-than,hashtag,dollar-sign,hashtag,dollar-sign,dollar-sign,hashtag,slash,less-than,dollar-sign,7,06741253,1320,ABABCDCD,experiment
430,at,plus,at,plus,equals,minus,equals,minus,equals,at,minus,plus,minus,7,03165724,0123,ABABCDCD,experiment
451,asterisk,exclamation,asterisk,exclamation,tilde,plus,tilde,plus,tilde,plus,exclamation,asterisk,plus,7,32610547,2031,ABABCDCD,experiment
247,greater-than,angle-up,greater-than,angle-up,hashtag,equals,hashtag,equals,greater-than,equals,hashtag,angle-up,equals,7,63201574,0312,ABABCDCD,experiment
299,slash,at,slash,at,minus,quote,minus,quote,slash,quote,minus,at,quote,7,30475612,1203,ABABCDCD,experiment
444,quote,minus,quote,minus,tilde,dollar-sign,tilde,dollar-sign,tilde,minus,quote,dollar-sign,dollar-sign,7,67432105,2310,ABABCDCD,experiment
337,percent,equals,percent,equals,plus,tilde,plus,tilde,percent,plus,equals,tilde,tilde,7,23641705,1023,ABABCDCD,experiment
388,asterisk,at,asterisk,at,greater-than,and,greater-than,and,and,at,asterisk,greater-than,and,7,17246305,2031,ABABCDCD,experiment
264,at,percent,at,percent,quote,angle-up,quote,angle-up,at,angle-up,quote,percent,angle-up,7,71360524,2310,ABABCDCD,experiment
312,tilde,angle-up,tilde,angle-up,dollar-sign,quote,dollar-sign,quote,quote,tilde,angle-up,dollar-sign,quote,7,10375246,2031,ABABCDCD,experiment
373,tilde,and,tilde,and,quote,hashtag,quote,hashtag,and,tilde,quote,hashtag,hashtag,7,26031754,2103,ABABCDCD,experiment
268,hashtag,at,hashtag,at,quote,slash,quote,slash,at,hashtag,quote,slash,slash,7,47316025,3102,ABABCDCD,experiment
468,plus,asterisk,plus,asterisk,quote,and,quote,and,quote,and,asterisk,plus,and,7,76214035,3201,ABABCDCD,experiment
369,greater-than,angle-up,greater-than,angle-up,minus,percent,minus,percent,angle-up,minus,greater-than,percent,percent,7,24673051,1032,ABABCDCD,experiment
642,dollar-sign,asterisk,asterisk,dollar-sign,dollar-sign,asterisk,asterisk,dollar-sign,dollar-sign,slash,asterisk,angle-up,dollar-sign,7,16570234,3012,ABBAABBA,experiment
712,minus,asterisk,asterisk,minus,minus,asterisk,asterisk,minus,angle-up,asterisk,minus,slash,minus,7,01235764,3201,ABBAABBA,experiment
651,quote,tilde,tilde,quote,quote,tilde,tilde,quote,plus,tilde,quote,angle-up,quote,7,41720635,1203,ABBAABBA,experiment
681,hashtag,angle-up,angle-up,hashtag,hashtag,angle-up,angle-up,hashtag,hashtag,angle-up,quote,percent,hashtag,7,15430726,2301,ABBAABBA,experiment
543,tilde,percent,percent,tilde,tilde,percent,percent,tilde,percent,tilde,greater-than,dollar-sign,tilde,7,40371265,3012,ABBAABBA,experiment
546,slash,angle-up,angle-up,slash,slash,angle-up,angle-up,slash,exclamation,slash,angle-up,at,slash,7,07416253,2013,ABBAABBA,experiment
524,dollar-sign,quote,quote,dollar-sign,dollar-sign,quote,quote,dollar-sign,dollar-sign,quote,angle-up,equals,dollar-sign,7,26341750,1023,ABBAABBA,experiment
578,dollar-sign,plus,plus,dollar-sign,dollar-sign,plus,plus,dollar-sign,minus,plus,slash,dollar-sign,dollar-sign,7,27163450,1023,ABBAABBA,experiment
560,dollar-sign,at,at,dollar-sign,dollar-sign,at,at,dollar-sign,angle-up,dollar-sign,hashtag,at,dollar-sign,7,26731504,0312,ABBAABBA,experiment
572,percent,dollar-sign,dollar-sign,percent,percent,dollar-sign,dollar-sign,percent,and,exclamation,dollar-sign,percent,percent,7,25310476,0213,ABBAABBA,experiment
495,exclamation,minus,minus,exclamation,exclamation,minus,minus,exclamation,exclamation,quote,greater-than,minus,exclamation,7,13460527,2031,ABBAABBA,experiment
708,percent,at,at,percent,percent,at,at,percent,at,tilde,percent,greater-than,percent,7,42360175,3102,ABBAABBA,experiment
717,percent,quote,quote,percent,percent,quote,quote,percent,minus,percent,exclamation,quote,percent,7,65723104,1203,ABBAABBA,experiment
520,less-than,asterisk,asterisk,less-than,less-than,asterisk,asterisk,less-than,angle-up,less-than,and,asterisk,less-than,7,32516047,2130,ABBAABBA,experiment
673,minus,percent,percent,minus,minus,percent,percent,minus,percent,minus,dollar-sign,and,minus,7,64512703,0231,ABBAABBA,experiment
548,plus,equals,equals,plus,plus,equals,equals,plus,tilde,equals,less-than,plus,plus,7,17534206,0132,ABBAABBA,experiment
689,asterisk,at,at,asterisk,asterisk,at,at,asterisk,less-than,asterisk,plus,at,asterisk,7,03241657,2013,ABBAABBA,experiment
595,exclamation,at,at,exclamation,exclamation,at,at,exclamation,greater-than,exclamation,at,slash,exclamation,7,24061357,2103,ABBAABBA,experiment
662,percent,greater-than,greater-than,percent,percent,greater-than,greater-than,percent,percent,less-than,greater-than,minus,percent,7,75130462,3210,ABBAABBA,experiment
575,slash,hashtag,hashtag,slash,slash,hashtag,hashtag,slash,greater-than,hashtag,plus,slash,slash,7,15360247,0312,ABBAABBA,experiment
944,angle-up,hashtag,hashtag,angle-up,asterisk,greater-than,greater-than,asterisk,greater-than,hashtag,asterisk,angle-up,asterisk,7,06532174,2310,ABBACDDC,experiment
841,and,asterisk,asterisk,and,tilde,less-than,less-than,tilde,and,tilde,asterisk,less-than,tilde,7,72651403,3102,ABBACDDC,experiment
893,equals,and,and,equals,quote,slash,slash,quote,equals,and,slash,quote,quote,7,35740621,2130,ABBACDDC,experiment
839,tilde,equals,equals,tilde,angle-up,exclamation,exclamation,angle-up,exclamation,equals,angle-up,tilde,angle-up,7,32407561,0132,ABBACDDC,experiment
872,quote,at,at,quote,and,slash,slash,and,and,slash,quote,at,and,7,60345721,3021,ABBACDDC,experiment
931,percent,minus,minus,percent,dollar-sign,plus,plus,dollar-sign,dollar-sign,plus,minus,percent,dollar-sign,7,37210456,0321,ABBACDDC,experiment
732,hashtag,angle-up,angle-up,hashtag,exclamation,dollar-sign,dollar-sign,exclamation,exclamation,dollar-sign,angle-up,hashtag,exclamation,7,51362740,0213,ABBACDDC,experiment
870,greater-than,slash,slash,greater-than,hashtag,asterisk,asterisk,hashtag,greater-than,hashtag,slash,asterisk,hashtag,7,27415630,3021,ABBACDDC,experiment
750,angle-up,hashtag,hashtag,angle-up,at,asterisk,asterisk,at,at,asterisk,angle-up,hashtag,at,7,74216350,1203,ABBACDDC,experiment
804,percent,greater-than,greater-than,percent,minus,exclamation,exclamation,minus,percent,greater-than,minus,exclamation,minus,7,32516470,0213,ABBACDDC,experiment
805,dollar-sign,less-than,less-than,dollar-sign,exclamation,quote,quote,exclamation,dollar-sign,less-than,quote,exclamation,exclamation,7,03475612,0312,ABBACDDC,experiment
767,percent,less-than,less-than,percent,greater-than,and,and,greater-than,less-than,greater-than,percent,and,greater-than,7,32176504,0231,ABBACDDC,experiment
829,dollar-sign,quote,quote,dollar-sign,minus,plus,plus,minus,quote,plus,dollar-sign,minus,minus,7,46027315,1320,ABBACDDC,experiment
813,slash,percent,percent,slash,dollar-sign,at,at,dollar-sign,at,slash,percent,dollar-sign,dollar-sign,7,15730246,0312,ABBACDDC,experiment
776,greater-than,less-than,less-than,greater-than,at,angle-up,angle-up,at,greater-than,angle-up,less-than,at,at,7,34162057,0312,ABBACDDC,experiment
759,exclamation,less-than,less-than,exclamation,greater-than,at,at,greater-than,exclamation,greater-than,at,less-than,greater-than,7,07124356,1032,ABBACDDC,experiment
743,plus,percent,percent,plus,tilde,quote,quote,tilde,percent,plus,quote,tilde,tilde,7,36720145,3210,ABBACDDC,experiment
868,quote,percent,percent,quote,dollar-sign,asterisk,asterisk,dollar-sign,dollar-sign,quote,asterisk,percent,dollar-sign,7,26435710,2310,ABBACDDC,experiment
951,greater-than,tilde,tilde,greater-than,equals,exclamation,exclamation,equals,tilde,greater-than,equals,exclamation,equals,7,32704516,1230,ABBACDDC,experiment
860,and,quote,quote,and,hashtag,angle-up,angle-up,hashtag,angle-up,quote,and,hashtag,hashtag,7,67243105,1203,ABBACDDC,experiment
985,quote,hashtag,hashtag,slash,quote,hashtag,hashtag,slash,hashtag,quote,minus,slash,slash,7,57421630,1320,ABBCABBC,experiment
989,less-than,and,and,percent,less-than,and,and,percent,percent,greater-than,and,less-than,percent,7,37261450,3210,ABBCABBC,experiment
1031,minus,dollar-sign,dollar-sign,asterisk,minus,dollar-sign,dollar-sign,asterisk,dollar-sign,at,asterisk,minus,asterisk,7,16704325,1302,ABBCABBC,experiment
1078,less-than,asterisk,asterisk,quote,less-than,asterisk,asterisk,quote,quote,less-than,angle-up,asterisk,quote,7,47651023,3012,ABBCABBC,experiment
1145,greater-than,plus,plus,and,greater-than,plus,plus,and,at,plus,and,greater-than,and,7,54071263,0132,ABBCABBC,experiment
1010,less-than,percent,percent,asterisk,less-than,percent,percent,asterisk,asterisk,less-than,exclamation,percent,asterisk,7,25407361,1320,ABBCABBC,experiment
1018,plus,asterisk,asterisk,quote,plus,asterisk,asterisk,quote,asterisk,quote,plus,percent,quote,7,15420367,0321,ABBCABBC,experiment
1074,equals,minus,minus,plus,equals,minus,minus,plus,hashtag,minus,equals,plus,plus,7,36057142,1032,ABBCABBC,experiment
1105,exclamation,and,and,greater-than,exclamation,and,and,greater-than,hashtag,greater-than,and,exclamation,greater-than,7,71246530,1203,ABBCABBC,experiment
1190,quote,and,and,angle-up,quote,and,and,angle-up,quote,angle-up,percent,and,angle-up,7,26413570,3012,ABBCABBC,experiment
964,slash,greater-than,greater-than,quote,slash,greater-than,greater-than,quote,quote,greater-than,angle-up,slash,quote,7,37165024,3120,ABBCABBC,experiment
1189,dollar-sign,tilde,tilde,quote,dollar-sign,tilde,tilde,quote,tilde,less-than,dollar-sign,quote,quote,7,67102435,2130,ABBCABBC,experiment
1089,minus,plus,plus,tilde,minus,plus,plus,tilde,minus,equals,plus,tilde,tilde,7,54021763,1320,ABBCABBC,experiment
973,less-than,exclamation,exclamation,slash,less-than,exclamation,exclamation,slash,minus,exclamation,slash,less-than,slash,7,76425031,3102,ABBCABBC,experiment
1127,at,minus,minus,equals,at,minus,minus,equals,plus,at,equals,minus,equals,7,52617304,1203,ABBCABBC,experiment
1126,equals,greater-than,greater-than,less-than,equals,greater-than,greater-than,less-than,dollar-sign,equals,less-than,greater-than,less-than,7,53624017,3102,ABBCABBC,experiment
963,hashtag,and,and,minus,hashtag,and,and,minus,and,hashtag,less-than,minus,minus,7,07126543,3201,ABBCABBC,experiment
1122,less-than,greater-than,greater-than,at,less-than,greater-than,greater-than,at,greater-than,plus,at,less-than,at,7,35461720,0321,ABBCABBC,experiment
1192,greater-than,slash,slash,percent,greater-than,slash,slash,percent,asterisk,percent,slash,greater-than,percent,7,71420635,2301,ABBCABBC,experiment
1156,equals,minus,minus,slash,equals,minus,minus,slash,minus,slash,at,equals,slash,7,34127605,1320,ABBCABBC,experiment
1320,asterisk,exclamation,at,asterisk,asterisk,exclamation,at,asterisk,exclamation,at,less-than,asterisk,asterisk,7,46273510,0321,ABCAABCA,experiment
1340,equals,percent,exclamation,equals,equals,percent,exclamation,equals,equals,percent,minus,exclamation,equals,7,52647301,1203,ABCAABCA,experiment
1307,greater-than,asterisk,hashtag,greater-than,greater-than,asterisk,hashtag,greater-than,greater-than,dollar-sign,hashtag,asterisk,greater-than,7,06451237,2013,ABCAABCA,experiment
1353,greater-than,plus,dollar-sign,greater-than,greater-than,plus,dollar-sign,greater-than,slash,greater-than,plus,dollar-sign,greater-than,7,23507461,2031,ABCAABCA,experiment
1249,percent,exclamation,slash,percent,percent,exclamation,slash,percent,percent,slash,dollar-sign,exclamation,percent,7,54062731,3120,ABCAABCA,experiment
1268,greater-than,asterisk,quote,greater-than,greater-than,asterisk,quote,greater-than,percent,quote,asterisk,greater-than,greater-than,7,21450736,0231,ABCAABCA,experiment
1387,at,tilde,less-than,at,at,tilde,less-than,at,at,tilde,dollar-sign,less-than,at,7,47502316,1302,ABCAABCA,experiment
1432,less-than,percent,asterisk,less-than,less-than,percent,asterisk,less-than,asterisk,less-than,percent,tilde,less-than,7,70654213,0123,ABCAABCA,experiment
1416,minus,angle-up,equals,minus,minus,angle-up,equals,minus,greater-than,angle-up,minus,equals,minus,7,65472013,2310,ABCAABCA,experiment
1419,angle-up,dollar-sign,hashtag,angle-up,angle-up,dollar-sign,hashtag,angle-up,dollar-sign,hashtag,angle-up,equals,angle-up,7,23175460,3021,ABCAABCA,experiment
1361,angle-up,tilde,at,angle-up,angle-up,tilde,at,angle-up,at,tilde,angle-up,plus,angle-up,7,54612073,0213,ABCAABCA,experiment
1207,greater-than,and,percent,greater-than,greater-than,and,percent,greater-than,and,percent,equals,greater-than,greater-than,7,61043725,0123,ABCAABCA,experiment
1425,exclamation,equals,angle-up,exclamation,exclamation,equals,angle-up,exclamation,equals,angle-up,slash,exclamation,exclamation,7,40657231,0321,ABCAABCA,experiment
1398,greater-than,hashtag,plus,greater-than,greater-than,hashtag,plus,greater-than,greater-than,exclamation,plus,hashtag,greater-than,7,16350472,0123,ABCAABCA,experiment
1393,hashtag,dollar-sign,greater-than,hashtag,hashtag,dollar-sign,greater-than,hashtag,dollar-sign,hashtag,greater-than,exclamation,hashtag,7,14260573,0132,ABCAABCA,experiment
1218,less-than,at,equals,less-than,less-than,at,equals,less-than,less-than,percent,at,equals,less-than,7,52170463,0321,ABCAABCA,experiment
1202,angle-up,minus,plus,angle-up,angle-up,minus,plus,angle-up,minus,hashtag,plus,angle-up,angle-up,7,42056317,3201,ABCAABCA,experiment
1203,greater-than,percent,minus,greater-than,greater-than,percent,minus,greater-than,percent,greater-than,less-than,minus,greater-than,7,64301257,2310,ABCAABCA,experiment
1439,equals,less-than,and,equals,equals,less-than,and,equals,equals,less-than,and,exclamation,equals,7,01267354,2130,ABCAABCA,experiment
1297,minus,angle-up,slash,minus,minus,angle-up,slash,minus,minus,at,slash,angle-up,minus,7,76143052,3021,ABCAABCA,experiment
2315,greater-than,hashtag,quote,greater-than,hashtag,quote,greater-than,hashtag,quote,greater-than,hashtag,equals,hashtag,7,74152036,1302,ABCABCAB,experiment
2163,plus,exclamation,asterisk,plus,exclamation,asterisk,plus,exclamation,asterisk,plus,exclamation,at,exclamation,7,21347506,1302,ABCABCAB,experiment
2282,asterisk,hashtag,percent,asterisk,hashtag,percent,asterisk,hashtag,asterisk,and,hashtag,percent,hashtag,7,74165320,2130,ABCABCAB,experiment
2387,slash,dollar-sign,asterisk,slash,dollar-sign,asterisk,slash,dollar-sign,dollar-sign,slash,asterisk,quote,dollar-sign,7,23657140,2031,ABCABCAB,experiment
2346,quote,dollar-sign,minus,quote,dollar-sign,minus,quote,dollar-sign,dollar-sign,asterisk,minus,quote,dollar-sign,7,41673250,2130,ABCABCAB,experiment
2228,percent,slash,exclamation,percent,slash,exclamation,percent,slash,slash,exclamation,greater-than,percent,slash,7,50627341,1032,ABCABCAB,experiment
2359,and,equals,minus,and,equals,minus,and,equals,equals,minus,and,angle-up,equals,7,16435702,3201,ABCABCAB,experiment
2164,slash,angle-up,and,slash,angle-up,and,slash,angle-up,equals,and,angle-up,slash,angle-up,7,57123046,0231,ABCABCAB,experiment
2347,asterisk,tilde,percent,asterisk,tilde,percent,asterisk,tilde,exclamation,tilde,percent,asterisk,tilde,7,57314260,3120,ABCABCAB,experiment
2257,hashtag,asterisk,and,hashtag,asterisk,and,hashtag,asterisk,hashtag,percent,asterisk,and,asterisk,7,30675124,3120,ABCABCAB,experiment
2262,at,quote,exclamation,at,quote,exclamation,at,quote,quote,slash,exclamation,at,quote,7,03521764,3210,ABCABCAB,experiment
2196,at,greater-than,percent,at,greater-than,percent,at,greater-than,percent,at,asterisk,greater-than,greater-than,7,15632407,2130,ABCABCAB,experiment
2246,minus,less-than,asterisk,minus,less-than,asterisk,minus,less-than,greater-than,minus,less-than,asterisk,less-than,7,74106325,0321,ABCABCAB,experiment
2339,angle-up,minus,dollar-sign,angle-up,minus,dollar-sign,angle-up,minus,minus,angle-up,dollar-sign,quote,minus,7,63051472,3120,ABCABCAB,experiment
2312,slash,at,greater-than,slash,at,greater-than,slash,at,plus,at,greater-than,slash,at,7,26415730,3012,ABCABCAB,experiment
2269,and,asterisk,plus,and,asterisk,plus,and,asterisk,asterisk,and,plus,hashtag,asterisk,7,06724513,0132,ABCABCAB,experiment
2219,greater-than,quote,at,greater-than,quote,at,greater-than,quote,equals,quote,at,greater-than,quote,7,35264017,2031,ABCABCAB,experiment
2224,slash,tilde,greater-than,slash,tilde,greater-than,slash,tilde,tilde,exclamation,slash,greater-than,tilde,7,40312657,1023,ABCABCAB,experiment
2320,exclamation,and,at,exclamation,and,at,exclamation,and,exclamation,percent,and,at,and,7,46271530,2310,ABCABCAB,experiment
2170,dollar-sign,slash,plus,dollar-sign,slash,plus,dollar-sign,slash,slash,percent,dollar-sign,plus,slash,7,41762035,0132,ABCABCAB,experiment
1546,percent,dollar-sign,angle-up,slash,slash,angle-up,dollar-sign,percent,angle-up,slash,dollar-sign,percent,percent,7,17250634,3210,ABCDDCBA,experiment
1665,angle-up,percent,minus,plus,plus,minus,percent,angle-up,percent,plus,angle-up,minus,angle-up,7,03652417,0213,ABCDDCBA,experiment
1587,tilde,hashtag,minus,asterisk,asterisk,minus,hashtag,tilde,tilde,asterisk,minus,hashtag,tilde,7,05462371,0321,ABCDDCBA,experiment
1668,exclamation,greater-than,minus,and,and,minus,greater-than,exclamation,exclamation,greater-than,and,minus,exclamation,7,70415236,3012,ABCDDCBA,experiment
1485,plus,quote,at,angle-up,angle-up,at,quote,plus,at,angle-up,quote,plus,plus,7,12534760,0231,ABCDDCBA,experiment
1462,percent,equals,dollar-sign,greater-than,greater-than,dollar-sign,equals,percent,dollar-sign,equals,greater-than,percent,percent,7,20341756,2310,ABCDDCBA,experiment
1443,equals,greater-than,asterisk,dollar-sign,dollar-sign,asterisk,greater-than,equals,asterisk,equals,greater-than,dollar-sign,equals,7,51246307,2013,ABCDDCBA,experiment
1586,plus,percent,less-than,minus,minus,less-than,percent,plus,percent,plus,minus,less-than,plus,7,70364512,2301,ABCDDCBA,experiment
1622,quote,and,less-than,angle-up,angle-up,less-than,and,quote,angle-up,less-than,quote,and,quote,7,43526710,2301,ABCDDCBA,experiment
1517,and,exclamation,equals,tilde,tilde,equals,exclamation,and,and,equals,exclamation,tilde,and,7,43175620,2310,ABCDDCBA,experiment
1516,and,hashtag,percent,at,at,percent,hashtag,and,hashtag,at,and,percent,and,7,63701245,0132,ABCDDCBA,experiment
1518,slash,and,at,plus,plus,at,and,slash,plus,slash,at,and,slash,7,67145032,2301,ABCDDCBA,experiment
1557,plus,asterisk,less-than,and,and,less-than,asterisk,plus,plus,and,asterisk,less-than,plus,7,65324170,3201,ABCDDCBA,experiment
1629,slash,and,percent,angle-up,angle-up,percent,and,slash,angle-up,and,slash,percent,slash,7,57063241,2310,ABCDDCBA,experiment
1673,at,quote,asterisk,angle-up,angle-up,asterisk,quote,at,at,quote,angle-up,asterisk,at,7,76541032,0231,ABCDDCBA,experiment
1677,dollar-sign,and,slash,quote,quote,slash,and,dollar-sign,quote,and,dollar-sign,slash,dollar-sign,7,62134057,0132,ABCDDCBA,experiment
1465,and,percent,at,minus,minus,at,percent,and,at,percent,and,minus,and,7,43067521,1023,ABCDDCBA,experiment
1495,minus,less-than,exclamation,and,and,exclamation,less-than,minus,exclamation,and,minus,less-than,minus,7,37054162,3102,ABCDDCBA,experiment
1541,plus,slash,percent,and,and,percent,slash,plus,percent,plus,and,slash,plus,7,35614027,1302,ABCDDCBA,experiment
