item_id,figure1,figure2,figure3,figure4,figure5,figure6,figure7,figure8,choice1,choice2,choice3,choice4,solution,masked_idx,seq_order,choice_order,pattern,trial_type
224,minus,minus,minus,angle-up,minus,minus,minus,angle-up,hashtag,minus,angle-up,and,angle-up,7,13624705,1320,AAABAAAB,experiment
161,quote,quote,quote,at,quote,quote,quote,at,at,quote,angle-up,minus,at,7,36571024,1023,AAABAAAB,experiment
59,less-than,less-than,less-than,tilde,less-than,less-than,less-than,tilde,dollar-sign,tilde,less-than,slash,tilde,7,71406235,2031,AAABAAAB,experiment
9,hashtag,hashtag,hashtag,at,hashtag,hashtag,hashtag,at,asterisk,at,and,hashtag,at,7,73520164,1203,AAABAAAB,experiment
109,hashtag,hashtag,hashtag,quote,hashtag,hashtag,hashtag,quote,equals,slash,quote,hashtag,quote,7,01243576,0213,AAABAAAB,experiment
144,at,at,at,angle-up,at,at,at,angle-up,at,slash,angle-up,dollar-sign,angle-up,7,25713064,3102,AAABAAAB,experiment
163,quote,quote,quote,angle-up,quote,quote,quote,angle-up,dollar-sign,quote,greater-than,angle-up,angle-up,7,41536720,1023,AAABAAAB,experiment
203,slash,slash,slash,greater-than,slash,slash,slash,greater-than,slash,equals,greater-than,percent,greater-than,7,27104365,1320,AAABAAAB,experiment
159,greater-than,greater-than,greater-than,less-than,greater-than,greater-than,greater-than,less-than,tilde,greater-than,exclamation,less-than,less-than,7,01523467,2103,AAABAAAB,experiment
40,hashtag,hashtag,hashtag,dollar-sign,hashtag,hashtag,hashtag,dollar-sign,hashtag,percent,tilde,dollar-sign,dollar-sign,7,05423167,3012,AAABAAAB,experiment
2,exclamation,exclamation,exclamation,greater-than,exclamation,exclamation,exclamation,greater-than,and,exclamation,greater-than,angle-up,greater-than,7,35746102,2013,AAABAAAB,experiment
17,percent,percent,percent,slash,percent,percent,percent,slash,percent,slash,angle-up,hashtag,slash,7,03521476,0312,AAABAAAB,experiment
20,minus,minus,minus,greater-than,minus,minus,minus,greater-than,minus,hashtag,greater-than,equals,greater-than,7,24513670,1302,AAABAAAB,experiment
65,at,at,at,tilde,at,at,at,tilde,angle-up,equals,at,tilde,tilde,7,40153762,2103,AAABAAAB,experiment
