item_id,figure1,figure2,figure3,figure4,figure5,figure6,figure7,figure8,choice1,choice2,choice3,choice4,solution,masked_idx,seq_order,choice_order,pattern,trial_type
217,hashtag,hashtag,hashtag,greater-than,hashtag,hashtag,hashtag,greater-than,asterisk,greater-than,hashtag,angle-up,greater-than,7,23714056,3210,AAABAAAB,experiment
68,at,at,at,exclamation,at,at,at,exclamation,hashtag,exclamation,plus,at,exclamation,7,65023417,2013,AAABAAAB,experiment
22,quote,quote,quote,slash,quote,quote,quote,slash,quote,percent,and,slash,slash,7,27413650,1203,AAABAAAB,experiment
118,plus,plus,plus,equals,plus,plus,plus,equals,dollar-sign,plus,quote,equals,equals,7,76351204,2130,AAABAAAB,experiment
235,asterisk,asterisk,asterisk,hashtag,asterisk,asterisk,asterisk,hashtag,minus,hashtag,asterisk,angle-up,hashtag,7,60157432,1032,AAABAAAB,experiment
178,exclamation,exclamation,exclamation,plus,exclamation,exclamation,exclamation,plus,exclamation,minus,hashtag,plus,plus,7,60251473,3201,AAABAAAB,experiment
154,angle-up,angle-up,angle-up,greater-than,angle-up,angle-up,angle-up,greater-than,angle-up,dollar-sign,greater-than,less-than,greater-than,7,17546023,2310,AAABAAAB,experiment
232,angle-up,angle-up,angle-up,equals,angle-up,angle-up,angle-up,equals,angle-up,exclamation,equals,quote,equals,7,71402635,3120,AAABAAAB,experiment
145,dollar-sign,dollar-sign,dollar-sign,at,dollar-sign,dollar-sign,dollar-sign,at,at,dollar-sign,slash,percent,at,7,61320475,3012,AAABAAAB,experiment
198,exclamation,exclamation,exclamation,asterisk,exclamation,exclamation,exclamation,asterisk,asterisk,plus,less-than,exclamation,asterisk,7,50432167,1203,AAABAAAB,experiment
61,equals,equals,equals,and,equals,equals,equals,and,and,angle-up,tilde,equals,and,7,65143027,3120,AAABAAAB,experiment
100,tilde,tilde,tilde,plus,tilde,tilde,tilde,plus,and,plus,tilde,less-than,plus,7,51724306,1230,AAABAAAB,experiment
172,dollar-sign,dollar-sign,dollar-sign,tilde,dollar-sign,dollar-sign,dollar-sign,tilde,equals,slash,dollar-sign,tilde,tilde,7,13546270,3120,AAABAAAB,experiment
196,percent,percent,percent,exclamation,percent,percent,percent,exclamation,exclamation,minus,percent,angle-up,exclamation,7,73012546,1320,AAABAAAB,experiment
24,at,at,at,equals,at,at,at,equals,tilde,minus,at,equals,equals,7,13524760,0231,AAABAAAB,experiment
13,greater-than,greater-than,greater-than,angle-up,greater-than,greater-than,greater-than,angle-up,equals,greater-than,minus,angle-up,angle-up,7,57164320,2310,AAABAAAB,experiment
137,less-than,less-than,less-than,exclamation,less-than,less-than,less-than,exclamation,equals,less-than,exclamation,tilde,exclamation,7,65207143,0123,AAABAAAB,experiment
127,tilde,tilde,tilde,less-than,tilde,tilde,tilde,less-than,hashtag,and,less-than,tilde,less-than,7,07413625,2301,AAABAAAB,experiment
146,percent,percent,percent,plus,percent,percent,percent,plus,plus,percent,minus,quote,plus,7,72546301,1032,AAABAAAB,experiment
131,asterisk,asterisk,asterisk,slash,asterisk,asterisk,asterisk,slash,hashtag,at,asterisk,slash,slash,7,41523706,0321,AAABAAAB,experiment
253,equals,minus,equals,minus,at,percent,at,percent,at,minus,equals,percent,percent,7,72145063,2031,ABABCDCD,experiment
434,angle-up,greater-than,angle-up,greater-than,dollar-sign,at,dollar-sign,at,angle-up,greater-than,dollar-sign,at,at,7,46017523,3012,ABABCDCD,experiment
